Long,Lat,Date,BirdID,Fix
-77.9425,18.0448,2/21/17,153,494
-77.9426,18.0462,2/21/17,54,495
-77.9384,18.0412,2/21/17,338,496
-77.9384,18.041,2/21/17,208,497
-77.9424,18.0444,2/22/17,128,499
-77.942,18.0436,2/22/17,153,500
-77.9427,18.0458,2/22/17,54,501
-77.9402,18.0459,2/22/17,46,502
-77.9415,18.0436,2/22/17,153,503
-77.9429,18.0441,2/22/17,128,504
-77.9423,18.0463,2/22/17,54,505
-77.9418,18.0408,2/22/17,338,506
-77.9406,18.0404,2/22/17,194,507
-77.9381,18.0415,2/22/17,208,508
-77.9398,18.0432,2/23/17,208,510
-77.9383,18.0413,2/23/17,338,511
-77.9397,18.044,2/23/17,146,512
-77.943,18.0447,2/23/17,153,513
-77.9433,18.0467,2/23/17,54,514
-77.9405,18.0439,2/23/17,46,515
-77.9397,18.0432,2/23/17,208,516
-77.9396,18.0441,2/23/17,146,517
-77.9381,18.0416,2/23/17,338,518
-77.9418,18.0417,2/23/17,194,519
-77.9355,18.0365,2/24/17,114,520
-77.9355,18.0332,2/24/17,302,521
-77.9326,18.0414,2/24/17,89,522
-77.9354,18.0358,2/24/17,114,523
-77.9358,18.0352,2/24/17,169,524
-77.9351,18.0328,2/24/17,302,525
-77.9331,18.0419,2/24/17,89,526
-77.9357,18.0355,2/24/17,169,527
-77.9362,18.0359,2/24/17,114,528
-77.9352,18.0327,2/24/17,302,529
-77.9327,18.0422,2/24/17,89,530
-77.9357,18.0352,2/24/17,169,531
-77.9358,18.033,2/24/17,302,532
-77.9355,18.0349,2/24/17,169,534
-77.9371,18.0399,2/24/17,338,535
-77.9352,18.0357,2/23/17,114,536
-77.9332,18.0421,2/23/17,89,537
-77.935,18.0326,2/23/17,302,538
-77.9369,18.0402,2/23/17,169,539
-77.9425,18.0449,2/24/17,128,540
-77.9435,18.0463,2/24/17,54,541
-77.9425,18.045,2/24/17,153,542
-77.9408,18.0452,2/24/17,46,543
-77.9417,18.0427,2/24/17,194,544
-77.94,18.0406,2/24/17,338,545
-77.9402,18.0421,2/24/17,208,546
-77.9396,18.0438,2/24/17,146,547
-77.9415,18.0424,2/24/17,194,548
-77.943,18.0444,2/24/17,128,549
-77.94,18.0454,2/24/17,46,550
-77.9382,18.0412,2/24/17,338,551
-77.9397,18.0441,2/24/17,146,553
-77.9419,18.0426,2/24/17,194,554
-77.9428,18.044,2/24/17,128,555
-77.9414,18.0442,2/24/17,153,556
-77.9433,18.0466,2/24/17,54,557
-77.9413,18.0444,2/24/17,46,558
-77.9393,18.0433,2/24/17,146,559
-77.9412,18.0408,2/24/17,208,560
-77.9427,18.0418,2/24/17,194,561
-77.9428,18.0443,2/24/17,128,562
-77.935,18.0331,2/25/17,302,563
-77.9361,18.038,2/25/17,114,564
-77.9362,18.0396,2/25/17,169,565
-77.9321,18.0411,2/25/17,89,566
-77.9384,18.0411,2/25/17,338,567
-77.9403,18.0451,2/25/17,46,568
-77.9425,18.0449,2/25/17,153,569
-77.9356,18.033,2/27/17,302,570
-77.9361,18.0378,2/27/17,114,571
-77.9354,18.0394,2/27/17,169,572
-77.9355,18.0332,2/27/17,302,574
-77.9362,18.0377,2/27/17,114,575
-77.9364,18.0397,2/27/17,169,576
-77.9324,18.0424,2/27/17,89,577
-77.9355,18.0332,2/27/17,302,578
-77.9364,18.04,2/27/17,169,579
-77.9389,18.0417,2/28/17,338,580
-77.9415,18.041,3/1/17,338,581
-77.9423,18.0418,3/1/17,194,582
-77.9384,18.0441,3/1/17,146,584
-77.9414,18.0406,3/1/17,338,585
-77.9414,18.044,3/1/17,128,586
-77.9403,18.0452,3/1/17,46,587
-77.9421,18.0461,3/1/17,153,588
-77.9432,18.0467,3/1/17,54,589
-77.9416,18.0408,3/1/17,338,590
-77.9382,18.0435,3/1/17,208,591
-77.939,18.0436,3/1/17,146,592
-77.9414,18.044,3/1/17,128,593
-77.94,18.0452,3/1/17,46,594
-77.9413,18.0462,3/1/17,153,595
-77.9433,18.0464,3/1/17,54,596
-77.9419,18.0417,3/1/17,194,597
-77.9359,18.0363,3/2/17,114,599
-77.9368,18.0401,3/2/17,169,600
-77.9337,18.0421,3/2/17,89,601
-77.9353,18.0329,3/2/17,302,602
-77.9342,18.0414,3/2/17,89,603
-77.9362,18.037,3/3/17,114,604
-77.936,18.0376,3/3/17,169,605
-77.9354,18.034,3/3/17,302,607
-77.9357,18.0378,3/3/17,169,608
-77.9361,18.0359,3/3/17,114,609
-77.9353,18.0357,3/3/17,302,610
-77.9336,18.0422,3/4/17,89,611
-77.936,18.037,3/4/17,169,612
-77.9354,18.0362,3/4/17,114,613
-77.9357,18.0365,3/4/17,114,615
-77.9356,18.0339,3/4/17,302,616
-77.936,18.0375,3/4/17,169,617
-77.934,18.0419,3/4/17,89,618
-77.9353,18.033,3/6/17,302,619
-77.9356,18.0363,3/6/17,114,620
-77.9363,18.0387,3/6/17,169,621
-77.9318,18.0418,3/6/17,89,622
-77.9353,18.0326,3/6/17,302,623
-77.9358,18.0357,3/6/17,114,624
-77.9359,18.0381,3/6/17,169,625
-77.931,18.0413,3/6/17,89,626
-77.9353,18.0329,3/6/17,302,627
-77.9355,18.0355,3/6/17,114,628
-77.9363,18.037,3/6/17,169,629
-77.9421,18.0417,2/27/17,194,630
-77.9411,18.0413,2/27/17,338,631
-77.9392,18.042,2/27/17,208,632
-77.9391,18.0435,2/27/17,146,633
-77.9404,18.0442,2/27/17,46,634
-77.9416,18.0438,2/27/17,128,635
-77.9433,18.0468,2/27/17,54,636
-77.9429,18.0448,2/27/17,153,637
-77.9423,18.0423,2/27/17,194,638
-77.9381,18.0414,2/27/17,338,639
-77.9383,18.042,2/27/17,208,640
-77.9396,18.0427,2/27/17,146,641
-77.9405,18.0444,2/27/17,46,642
-77.9414,18.0439,2/27/17,128,643
-77.9434,18.0469,2/27/17,54,644
-77.9429,18.0447,2/27/17,153,645
-77.9395,18.0424,3/2/17,208,646
-77.9387,18.0424,3/2/17,338,647
-77.9423,18.0421,3/2/17,194,648
-77.9426,18.0428,3/2/17,128,649
-77.9423,18.0461,3/2/17,54,650
-77.9429,18.0448,3/2/17,153,651
-77.9396,18.044,3/2/17,146,652
-77.9405,18.0442,3/2/17,46,653
-77.9401,18.0417,3/2/17,338,654
-77.9428,18.0427,3/2/17,128,655
-77.9419,18.0461,3/2/17,54,656
-77.9393,18.0419,3/3/17,208,657
-77.9393,18.0421,3/3/17,338,658
-77.9392,18.0438,3/3/17,146,659
-77.9403,18.0451,3/3/17,46,660
-77.943,18.0448,3/3/17,128,661
-77.9416,18.0457,3/3/17,153,662
-77.9418,18.0462,3/3/17,54,663
-77.9416,18.0421,3/3/17,194,664
-77.9389,18.0425,3/3/17,208,665
-77.9395,18.0427,3/3/17,338,666
-77.9395,18.0428,3/3/17,146,667
-77.9402,18.0452,3/3/17,46,668
-77.9424,18.0465,3/3/17,54,669
-77.9419,18.0463,3/3/17,153,670
-77.9436,18.0447,3/3/17,128,671
-77.942,18.0415,3/3/17,194,672
-77.9387,18.0424,3/3/17,338,673
-77.939,18.0431,3/3/17,208,674
-77.9392,18.0421,3/4/17,338,675
-77.9393,18.0424,3/4/17,208,676
-77.9387,18.0437,3/4/17,146,677
-77.9423,18.0433,3/4/17,128,678
-77.9402,18.0453,3/4/17,46,679
-77.9425,18.0452,3/4/17,54,680
-77.9435,18.0446,3/4/17,153,681
-77.9418,18.0428,3/4/17,194,682
